concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_2.started,text_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,textbox.text,participant,condition,date,expName,psychopyVersion,frameRate,
lion,lion1.jpg,11 x 83 =,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,return,7.911058886998944,28.99084678899999,None,28.99084678899999,None,28.99084678899999,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
bike,bike3.jpg,25 x 17 =,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,return,3.6340731059990503,36.93319898400114,None,36.93319898400114,None,36.93319898400114,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
alligator,alligator1.jpg,47 x 24 =,,,,,,,,,0,2,2,30,,,,,,,,,,,,,,,,,,,,,,return,3.7709207870011596,40.597794748000524,None,40.597794748000524,None,40.597794748000524,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
banana,banana1.jpg,84 x 54 =,,,,,,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,return,2.559591092000119,44.39764615599961,None,44.39764615599961,None,44.39764615599961,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
bear,bear1.jpg,49 x 43 =,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,return,3.19201348200113,46.98245961700013,None,46.98245961700013,None,46.98245961700013,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
apples,apples4.jpg,68 x 47 =,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,return,2.7835439640002733,50.19452299099976,None,50.19452299099976,None,50.19452299099976,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
book,book1.jpg,9 x 22 =,,,,,,,,,0,6,6,16,,,,,,,,,,,,,,,,,,,,,,return,2.5769170699986716,53.015585209001074,None,53.015585209001074,None,53.015585209001074,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
car,car1.jpg,77 x 21 =,,,,,,,,,0,7,7,18,,,,,,,,,,,,,,,,,,,,,,return,2.9111610159998236,55.613622267999745,None,55.613622267999745,None,55.613622267999745,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
chairs,chairs2.jpg,13 x 47 =,,,,,,,,,0,8,8,28,,,,,,,,,,,,,,,,,,,,,,None,,58.5450404029998,None,58.5450404029998,None,58.5450404029998,None,,,,,,,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.00998874000106,None,space,5.8406986909994885,60.992479126000035,None,,,,2021_Mar_08_1226,df_e1,2021.1.2,59.73013946859748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," fsdfhsjd

dfnjs
nfjsdk
fdsj
fsdjk
sfdhjk

fdsj",,,,,,,
