concept,photo,distractQ,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,condition,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,ins.started,ins.stopped,con1.started,con1.stopped,text.started,text.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,participant,condition,date,expName,psychopyVersion,frameRate,
elephant,elephant3.jpg,51 x 65 =,,,,,,,,,0,9,9,7,,,,,,,,,,,,,,,,,,,,,,return,0.7466975320003257,29.818355462999534,None,29.818355462999534,None,29.818355462999534,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
frog,frog1.jpg,63 x 58 =,,,,,,,,,0,10,10,20,,,,,,,,,,,,,,,,,,,,,,return,0.6987423120008316,30.600274626998726,None,30.600274626998726,None,30.600274626998726,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
alligator,alligator1.jpg,47 x 24 =,,,,,,,,,0,11,11,30,,,,,,,,,,,,,,,,,,,,,,return,0.6648391979997541,31.33437948899882,None,31.33437948899882,None,31.33437948899882,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
phone,phone1.jpg,86 x 12 =,,,,,,,,,0,12,12,21,,,,,,,,,,,,,,,,,,,,,,return,0.7665051000003587,32.021389359999375,None,32.021389359999375,None,32.021389359999375,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
strawberries,strawberries4.jpg,14 x 38 =,,,,,,,,,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,return,0.7169201809992956,32.81915186599872,None,32.81915186599872,None,32.81915186599872,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
fox,fox1.jpg,74 x 57 =,,,,,,,,,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,return,0.7601620700006606,33.56676141499884,None,33.56676141499884,None,33.56676141499884,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
car,car1.jpg,77 x 21 =,,,,,,,,,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,return,0.8158126460002677,34.349964944998646,None,34.349964944998646,None,34.349964944998646,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bench,bench1.jpg,18 x 74 =,,,,,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,return,0.9125619700007519,35.204240505998314,None,35.204240505998314,None,35.204240505998314,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
train,train1.jpg,96 x 99 =,,,,,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,return,1.2632449140000972,36.151381013998616,None,36.151381013998616,None,36.151381013998616,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
fish,fish3.jpg,16 x 1 =,,,,,,,,,0,18,18,12,,,,,,,,,,,,,,,,,,,,,,return,0.9558780179995665,37.449213031999534,None,37.449213031999534,None,37.449213031999534,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
whale,whale1.jpg,5 x 57 =,,,,,,,,,0,19,19,23,,,,,,,,,,,,,,,,,,,,,,return,1.0134673419997853,38.43527790199914,None,38.43527790199914,None,38.43527790199914,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
pie,pie1.jpg,82 x 31 =,,,,,,,,,0,20,20,24,,,,,,,,,,,,,,,,,,,,,,return,0.5972381459996541,39.47043712999948,None,39.47043712999948,None,39.47043712999948,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
pineapple,pineapple1.jpg,44 x 75 =,,,,,,,,,0,21,21,22,,,,,,,,,,,,,,,,,,,,,,return,0.5329044860009162,40.08965692899983,None,40.08965692899983,None,40.08965692899983,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
turtle,turtle3.jpg,80 x 11 =,,,,,,,,,0,22,22,13,,,,,,,,,,,,,,,,,,,,,,return,0.4963951879999513,40.6573686899992,None,40.6573686899992,None,40.6573686899992,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
banana,banana1.jpg,84 x 54 =,,,,,,,,,0,23,23,9,,,,,,,,,,,,,,,,,,,,,,return,0.46668225599933066,41.18395828999928,None,41.18395828999928,None,41.18395828999928,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
camel,camel1.jpg,44 x 84 =,,,,,,,,,0,24,24,26,,,,,,,,,,,,,,,,,,,,,,return,0.3944722730011563,41.684312111998224,None,41.684312111998224,None,41.684312111998224,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bike,bike3.jpg,25 x 17 =,,,,,,,,,0,25,25,3,,,,,,,,,,,,,,,,,,,,,,return,0.4408499020009913,42.099747655998726,None,42.099747655998726,None,42.099747655998726,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bridge,bridge1.jpg,94 x 64 =,,,,,,,,,0,26,26,17,,,,,,,,,,,,,,,,,,,,,,return,0.45986159299900464,42.56676087999949,None,42.56676087999949,None,42.56676087999949,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
bear,bear1.jpg,49 x 43 =,,,,,,,,,0,27,27,4,,,,,,,,,,,,,,,,,,,,,,return,0.48008968900103355,43.05048100199929,None,43.05048100199929,None,43.05048100199929,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
carrots,carrots1.jpg,44 x 4 =,,,,,,,,,0,28,28,29,,,,,,,,,,,,,,,,,,,,,,return,0.5313946700007364,43.550157482999566,None,43.550157482999566,None,43.550157482999566,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
grapes,grapes1.jpg,37 x 63 =,,,,,,,,,0,29,29,31,,,,,,,,,,,,,,,,,,,,,,return,0.38188426899978367,44.116713938999965,None,44.116713938999965,None,44.116713938999965,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
cat,cat1.jpg,77 x 21 =,,,,,,,,,0,30,30,2,,,,,,,,,,,,,,,,,,,,,,return,0.40084641499925056,44.51909870699819,None,44.51909870699819,None,44.51909870699819,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
tree,tree1.jpg,9 x 54 =,,,,,,,,,0,31,31,11,,,,,,,,,,,,,,,,,,,,,,return,0.5033863749995362,44.951363616999515,None,44.951363616999515,None,44.951363616999515,None,,,2021_Mar_08_1149,df_e1,2021.1.2,59.918627268571456,
